[-2.00348,-1.45989]
[-2.00156,-1.45802]
[-1.99965,-1.45615]
[-1.99773,-1.45429]
[-1.99582,-1.45243]
[-1.99391,-1.45057]
[-1.99201,-1.44871]
[-1.9901,-1.44686]
[-1.9882,-1.445]
[-1.9863,-1.44315]
[-1.9844,-1.4413]
[-1.9825,-1.43945]
[-1.9806,-1.4376]
[-1.97871,-1.43575]
[-1.97682,-1.43391]
[-1.97493,-1.43207]
[-1.97304,-1.43022]
[-1.97115,-1.42838]
[-1.96927,-1.42655]
[-1.96738,-1.42471]
[-1.9655,-1.42288]
[-1.96362,-1.42104]
[-1.96174,-1.41921]
[-1.95987,-1.41738]
[-1.95799,-1.41555]
[-1.95612,-1.41373]
[-1.95425,-1.4119]
[-1.95238,-1.41008]
[-1.95051,-1.40826]
[-1.94864,-1.40644]
[-1.94678,-1.40462]
[-1.94492,-1.4028]
[-1.94306,-1.40099]
[-1.9412,-1.39918]
[-1.93934,-1.39736]
[-1.93748,-1.39555]
[-1.93563,-1.39374]
[-1.93378,-1.39194]
[-1.93193,-1.39013]
[-1.93008,-1.38833]
[-1.92823,-1.38653]
